refseq_name	AP_SK_MllAF9_BMTs_01_wtGMP_1	AP_SK_MllAF9_BMTs_02_wtGMP_2	AP_SK_MllAF9_BMTs_03_wtGMP_3	AP_SK_MllAF9_BMTs_04_wtGMP_4	AP_SK_MllAF9_BMTs_05_LTearly_1_M2grD2	AP_SK_MllAF9_BMTs_06_LTearly_2_M3grE2	AP_SK_MllAF9_BMTs_07_LTearly_3_M4grLT3	AP_SK_MllAF9_BMTs_08_LTearly_4_M2grLT5	AP_SK_MllAF9_BMTs_09_LTlate_1_M2grLT3	AP_SK_MllAF9_BMTs_10_LTlate_2_M6grLT3	AP_SK_MllAF9_BMTs_11_LTlate_3_M3grD2	AP_SK_MllAF9_BMTs_12_LTlate_4_M3grG2	AP_SK_MllAF9_BMTs_13_BMTGMP_1_M1grV	AP_SK_MllAF9_BMTs_14_BMTGMP_2_M2grV	AP_SK_MllAF9_BMTs_15_BMTGMP_3_M1grW	AP_SK_MllAF9_BMTs_16_BMTGMP_4_M1grX
XM_001474737	0	0	0	0	1.91429	0	0.85714	0	0	0	24.42857	0	19	0.18182	0	25.125
XM_001474817	38	8	15	38	60.5	29	5	53	24	126.5	98	207	55.5	19	49	39
XM_001474822	4.33333	2	1	13.66667	27.33333	5.66667	14.33333	16.33333	15.66667	66.6	66.66667	127.83333	40.16667	12.66667	14.53333	13
XM_001474828	0	0	11	5	0	6	0	28	0	12	0	42	0	0	0	17
XM_001474842	1.75	0.1	0	0	0.28488	2.66491	0.66071	5.59661	0.68291	0.08889	0.02778	0.3101	6.43095	2.8268	1.83333	1.93646
XM_001474855	3	0	2	0	12	0	0	0	0	18	65	0	0	11	0	0
XM_001474869	6	0	0	1.42857	0.07143	0.83333	0.71429	0	1.07692	0	0	0	0	0	0	0
XM_001474870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001474887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001474927	0.97986	1.46349	3.17117	0.32738	11.15034	4.96672	7.34351	3.52202	5.62978	6.88874	8.18981	4.00605	3.58987	3.20985	4.09956	6.00399
XM_001474942	0.97986	1.46349	3.17117	0.32738	12.15034	4.96672	8.12129	4.72202	5.62978	7.99401	8.18981	4.00605	3.58987	3.20985	4.09956	6.00399
XM_001474959	0.38889	0.69231	0	20	33.0793	4.18693	1.41176	0	0.71429	1.39216	1.69231	9.70698	0	2.51667	31.03333	2.16422
XM_001474970	282.62262	58.95238	119.07381	85.04762	100.0381	80.99643	74.63333	184.02143	182.54524	417.50635	370.88214	610.03135	314.59762	227.775	297.11667	100.15833
XM_001474984	5	3.5	0	0	10	19	1	0	0	11	27	0	0	0	0	14
XM_001474995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001475054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001475119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001475120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001475146	38	2	28.5	19.5	16	7.5	22.5	18	100	117.5	90	113.5	118	43	35.5	34.5
XM_001475158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001475240	0	0	21	0	0	0	9	0	0	0	34	19	17	8	0	10
XM_001475283	0	0	0	0	4.78167	0.47436	0	0	0	7.38462	0	0	0.66667	8.25	0	3.88718
XM_001475289	0.90843	1.55467	2.38856	0.32738	11.14193	12.80005	6.08713	2.52202	4.55835	7.24267	35.14633	4.00605	4.51845	3.94001	3.09956	4.64685
XM_001475290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001475316	10.27063	2	11.32143	3.14286	9.38571	19.53968	5.03571	13.58333	3.96429	64.875	25.43929	28.04762	30.1	22.9119	18.875	8.16667
XM_001475319	1.59524	0.14286	16.83333	1.64444	1.71429	0.55556	16.22738	5.79365	4.10714	1.83333	5.01587	1.47619	3.95238	2.14286	2.15556	0.2
XM_001475343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001475354	340	36	197	63	86	119	38	193.5	75	233.5	302	395	341	236	205	71
XM_001475365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001475415	0	0	1	4	0	16	0	0	14	193	90	145	11	34	194	0
XM_001475417	666.33333	284.83333	339.33333	447.66667	222.16667	144.83333	231.5	367.16667	411.66667	750.08333	776.5	958.83333	710.16667	577	701.66667	230.33333
XM_001475422	1440.33333	588.16667	1200.66667	706.5	478	438.5	339.66667	1063.83333	685.33333	1384.16667	1815.83333	2415.83333	1835.5	1596.66667	1084.41667	787.83333
XM_001475423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001475438	1	5.66667	0	0	0	1.5	10.5	0	31.5	1.25	0	0	0	0	9	4.33333
XM_001475449	151.88929	26.28571	88.32381	62.38095	93.70476	43.9131	46.05	185.4381	112.2119	255.13968	213.21548	330.03135	217.43095	165.44167	131.73333	61.15833
XM_001475455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001475476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001475500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001475501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
XM_001475502	0	0.21429	0	0	7.49121	2.54459	1.5	1.7	2.48319	2.91026	0	0	0	1.41667	0	2.32051
XM_001475503	1069.90369	437.2947	730.00548	543.13485	504.36896	437.44175	354.07736	1390.55346	1061.85287	1708.2043	1957.46972	2276.52117	1559.33494	1521.67355	1118.39503	511.43665
